999999
T300+200g   [500.0003998]
S500g   [500.00001849]
T500g   [500.00064097]
S500.g   [499.99994581]
T300g   [300.00088206]
T200g   [199.99951773]
T100g   [100.00023286]
P100g   [100.00068357]
P100g   [100.00068325]
S50g+T50g   [100.00030852]
W100.g   [100.00015369]
T100g   [100.00023286]
T30g+T20g   [50.00012573]
S50g   [50.00007742]
T50g   [50.0002311]
P50g   [50.0003889]
T50g   [50.00023141]
T30g   [30.00011298]
T20g   [20.00001244]
P10g   [10.00002478]
T10g   [9.99997126]
Tsum   [10.00004069]
